"link","category"
"https://www.youtube.com/watch?v=omuAtS7zOa0&ab_channel=TheKneesovertoesguy","core"
"https://www.youtube.com/watch?v=2ZbrqTZt1nY&ab_channel=FitnessFAQs","back"
"https://www.youtube.com/watch?v=2_e4I-brfqs&ab_channel=SquatUniversity","core"
"https://www.youtube.com/watch?v=dBYjU7iBpck&ab_channel=SquatUniversity","full_dody"
